Author,Commit,Message,Date,,
M. Rozzaq Yusaliano,d97608f,Merged in ojak (pull request #27) Integrasi Api Rating  Send Feedback Detail Order Approved-by: Alif Jafar alifjafar@gmail.com,2019‑05‑11,, 
M. Rozzaq Yusaliano,6c32b21,Feedback after order completed done,2019‑05‑11,,
M. Rozzaq Yusaliano,0af8b97,Integrasi Api Rating,2019‑05‑11,,
Alif Jafar,e980234,enable multidex,2019‑05‑11,,
Alif Jafar,bd6dfc9,Add Returning,2019‑04‑30,,
Alif Jafar,99b2acb,Add Payment,2019‑04‑30,,
Alif Jafar,7d07cb7,Add Model Order Invoice dll,2019‑04‑30,,
Alif Jafar,5b0c119,Update Endpint Draft,2019‑04‑27,,
Alif Jafar,90698b1,Update Language,2019‑04‑27,,
Alif Jafar,ba84565,Update Language,2019‑04‑27,,
Alif Jafar,4811df9,Merge branch 'master' of bitbucket.org:rpl2019/minjemin-app,2019‑04‑27,,
Alif Jafar,af5eea0,Update Language,2019‑04‑27,,
Rizky Rahmat Hakiki,78210f1,Merged in rizkyrhakiki (pull request #26) Add setting preference change language,2019‑04‑27,,
Rizky Rahmat Hakiki,298a2ff,fix some conflcit,2019‑04‑27,,
Rizky Rahmat Hakiki,5ae4cd7,Add setting preference change language,2019‑04‑27,,
Alif Jafar,e3314d5,Add Setting Preference Notification,2019‑04‑27,,
Alif Jafar,f394ba6,Add FCM Messaging & Crashlytics,2019‑04‑27,,
Alif Jafar,680db0a,Add FCM Messaging & Crashlytics,2019‑04‑27,,
Alif Jafar,8c7c40f,Fix Merge Conflict from branch alifjafar,2019‑04‑23,,
Alif Jafar,65f6925,Resolve #20 Backend Pengembalian barang,2019‑04‑23,,
Rizky Rahmat Hakiki,8ce22d8,Merged in rizkyrhakiki (pull request #24) Update chat Approved-by: Alif Jafar alifjafar@gmail.com,2019‑04‑23,,
Rizky Rahmat Hakiki,c11cb5b,Layout Arpove Detail transkasi,2019‑04‑23,,
Rizky Rahmat Hakiki,f5a9ca3,Update chat,2019‑04‑23,,
Alif Jafar,112341,Fix Some Conflict,2019‑04‑23,,
Alif Jafar,3652b2c,Merge branch 'master' of bitbucket.org:rpl2019/minjemin-app,2019‑04‑23,,
Rizky Rahmat Hakiki,ada5c83,Merged in rizkyrhakiki (pull request #23) Resolved #24 pembuatan backend fungsi chat,2019‑04‑23,,
Alif Jafar,d14c9e8,Fix Some Conflict,2019‑04‑23,,
Rizky Rahmat Hakiki,ceee9d9,Resolved #24 pembuatan backend fungsi chat,2019‑04‑23,,
Alif Jafar,4fabbc5,Fix Merge Conflict From ariefryan Branch,2019‑04‑23,,
Alif Jafar,24f89e7,Fix Merge Conflict From Zenitho Branch,2019‑04‑23,,
Alif Jafar,d379b91,Resolve #19 Integrasi checkout & transaksi,2019‑04‑23,,
Ryan Risbaya,96ca7ce,Ref #23 Profres Back End halaman feedback view,2019‑04‑22,,
Alif Jafar,ead3edc,Change Padding Layout Item barang,2019‑04‑22,,
firdha utami,cc44dcd,Merged in firdha (pull request #20) Firdha Approved-by: Rizky Rahmat Hakiki rizkyrhakiki21@gmail.com,2019‑04‑22,,
firdha utami,53430a5,resolve #22 pembuatan front end chat sudah selesai,2019‑04‑22,,
firdha utami,8034982,resolved #22,2019‑04‑22,,
Zenitho Madyagantang,d070a0a,Resolve #26 Front end pengembalian barang done,2019‑04‑22,,
firdha utami,de58e7a,Merge branch 'master' of https://bitbucket.org/rpl2019/minjemin-app into firdha,2019‑04‑22,,
Rizky Rahmat Hakiki,1a3529b,Merged in rizkyrhakiki (pull request #18) Rizkyrhakiki,2019‑04‑22,,
Rizky Rahmat Hakiki,f2f614c,merge file,2019‑04‑22,,
Rizky Rahmat Hakiki,18748de,fix merge,2019‑04‑22,,
danti puji yuherisna,c19053c,Merged in dantipuji (pull request #17) Resolve #21 Layout Feedback Selesai Approved-by: Alif Jafar alifjafar@gmail.com,2019‑04‑22,,
danti puji yuherisna,7cf46b6,Resolve #21 Layout Feedback Selesai,2019‑04‑22,,
firdha utami,b76ebfa,Merge branch 'master' of https://bitbucket.org/rpl2019/minjemin-app into firdha,2019‑04‑22,,
danti puji yuherisna,d4f55fe,Merged in dantipuji (pull request #15) Ref #21 Layout Feedback Fix,2019‑04‑22,,
danti puji yuherisna,3347a4b,ref #21 Fix margin start margin end,2019‑04‑22,,
Ryan Risbaya,ca7949c,merge file,2019‑04‑22,,
Alif Jafar,11f86e6,Merged in alifjafar (pull request #16) Ref #20 Fix id Name layout  Bind Layout  Setup Spinner Adapter Approved-by: Alif Jafar alifjafar@gmail.com,2019‑04‑19,,
Alif Jafar,515a64b,Refactoring Home & Fix Layout Home,2019‑04‑19,,
Alif Jafar,c4fcd86,Refactoring Home & Fix Layout Home,2019‑04‑19,,
Rizky Rahmat Hakiki,762b6c0,Ref #24 Penambahan item chat,2019‑04‑16,,
Rizky Rahmat Hakiki,d498fb5,Penambahan item dan fragment chat,2019‑04‑16,,
danti puji yuherisna,69b9052,Ref #21 Layout Feedback Fix,2019‑04‑15,,
Alif Jafar,cd425ac,Ref #20 Setup Spinner Adapter,2019‑04‑14,,
Alif Jafar,4bf384f,Ref #20 Fix id Name layout  Bind Layout,2019‑04‑14,,
Alif Jafar,0118a3a,Merged in alifjafar (pull request #14) Ref #20 Create ViewModel Pengembalian Barang,2019‑04‑14,,
Alif Jafar,f39c2ce,Merged in zenithomh (pull request #13) #25 layout pengembalian barang,2019‑04‑14,,
M. Rozzaq Yusaliano,9028912,Merged in ojak (pull request #12) Ref #21 Fix layout feedback dan toolbar,2019‑04‑14,,
